Rang,Unternehmen,CO2_Red,Overall,RSI,
1,Deutsche Telekom,-85%,8.5,0.86,
2,RWE,-32%,8.5,0.46,
3,Bayer,-17%,8.5,0.62,
4,Mercedes-Benz,-42%,8.0,0.94,
5,Commerzbank,-36%,8.0,
6,SAP,-28%,8.0,0.85,
7,BMW,-31%,7.5,0.83,
8,Heidelberg Materials,-11%,7.5,0.78,
9,Symrise,-8%,7.5, 0.44,
10,Continental,-69%,7.0,
11,Ε.ΟΝ,-5%,7.0,0.69,
12,Beiersdorf,13%,7.0,0.78,
13,Airbus,-25%,6.5,0.59,
14,Porsche,-79%,6.0,0.78,
15,Allianz,-75%,6.0,0.46,
16,Deutsche Bank,-67%,6.0,0.4,
17,Siemens,-64%,6.0,0.79,
18,Siemens Energy,-51%,6.0,0.73,
19,Henkel,-46%,6.0,1.05,
20,Volkswagen,-28%,6.0, 1.18,
21,Siemens Health,-9%,6.0,0.82,
22,Sartorius,30%,6.0,0.5,
23,Merck,128%,6.0,0.79,
24,Rheinmetall,-55%,5.5,
25,Münchener Rück,-29%,5.5,0.57,
26,Covestro,-21%,5.5,0.84,
27,BASF,-15%,5.5,0.68,
28,Vonovia,-12%,5.5,0.72,
29,Zalando,-77%,5.0,1.11,
30,Hannover Rück,-74%,5.0,
31,MTU Aero Engines,-36%,5.0,0.77,
32,Fresenius,-14%,5.0,
33,DHL Group,32%,5.0,
34,Qiagen,33%,5.0,
35,Deutsche Börse,94%,5.0,
36,Adidas,171%,5.0,
37,Daimler Truck,-19%,4.5,0.74,
38,Brenntag,1.50%,4.0,
39,Infineon,2.00%,4.0, 0.83,
